Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1583971200,3/12/2020,BTCKRW,9514000,9539000,6002000,6360000,15760.49,1.25187E+11
1583884800,3/11/2020,BTCKRW,9546000,9606000,9126000,9514000,4359.19,41062169771
1583798400,3/10/2020,BTCKRW,9729000,9847000,9402000,9546000,5131.31,49329622583
1583712000,3/9/2020,BTCKRW,9866000,10046000,9349000,9729000,7657.2,74099499096
1583625600,3/8/2020,BTCKRW,10690000,10691000,9810000,9866000,4650.58,47726146037
1583539200,3/7/2020,BTCKRW,10854000,10975000,10637000,10690000,2123.1,22945873781
1583452800,3/6/2020,BTCKRW,10786000,10887000,10719000,10854000,2275.25,24605704475
1583366400,3/5/2020,BTCKRW,10489000,10873000,10488000,10786000,3372.61,36095759059
1583280000,3/4/2020,BTCKRW,10508000,10577000,10413000,10489000,2211.87,23210982380
1583193600,3/3/2020,BTCKRW,10673000,10683000,10406000,10508000,2887.7,30428960425
1583107200,3/2/2020,BTCKRW,10358000,10747000,10311000,10673000,3274.22,34390804667
1583020800,3/1/2020,BTCKRW,10378000,10554000,10279000,10358000,2508.01,26066775230
1582934400,2/29/2020,BTCKRW,10558000,10641000,10375000,10378000,1779.51,18690912460
1582848000,2/28/2020,BTCKRW,10686000,10822000,10295000,10558000,3862.87,40716793374
1582761600,2/27/2020,BTCKRW,10727000,10864000,10297000,10686000,4814.32,51195013479
1582675200,2/26/2020,BTCKRW,11327000,11401000,10614000,10727000,6422.46,70747101942
1582588800,2/25/2020,BTCKRW,11625000,11643000,11278000,11327000,3829.95,43891717479
1582502400,2/24/2020,BTCKRW,11748000,11838000,11531000,11625000,3206.59,37405721674
1582416000,2/23/2020,BTCKRW,11483000,11800000,11476000,11748000,2374.05,27737580548
1582329600,2/22/2020,BTCKRW,11500000,11530000,11397000,11483000,1237.6,14200985891
1582243200,2/21/2020,BTCKRW,11527000,11613000,11454000,11500000,2423.3,27998423399
1582156800,2/20/2020,BTCKRW,11422000,11585000,11351000,11527000,3429.48,39291761946
1582070400,2/19/2020,BTCKRW,11835000,11959000,11350000,11422000,4506.99,52994234747
1581984000,2/18/2020,BTCKRW,11431000,11894000,11321000,11835000,4183.44,48393527706
1581897600,2/17/2020,BTCKRW,11650000,11687000,11136000,11431000,5229.38,59500767413
1581811200,2/16/2020,BTCKRW,11496000,11761000,11325000,11650000,3785.62,43652381302
1581724800,2/15/2020,BTCKRW,11864000,11887000,11484000,11496000,3177.72,37245929473
1581638400,2/14/2020,BTCKRW,11802000,11895000,11718000,11864000,3211.4,37953159948
1581552000,2/13/2020,BTCKRW,11805000,12000000,11622000,11802000,5662.28,66900640097
1581465600,2/12/2020,BTCKRW,11783000,11910000,11752000,11805000,4167.23,49298263531
1581379200,2/11/2020,BTCKRW,11527000,11930000,11280000,11783000,4596.99,53100973217
1581292800,2/10/2020,BTCKRW,11837000,11868000,11403000,11527000,4092.22,47521077556
1581206400,2/9/2020,BTCKRW,11579000,11850000,11557000,11837000,3076.45,36113552126
1581120000,2/8/2020,BTCKRW,11499000,11602000,11265000,11579000,3197.22,36536362921
1581033600,2/7/2020,BTCKRW,11271000,11618000,11271000,11499000,3473.7,39757902389
1580947200,2/6/2020,BTCKRW,11050000,11384000,10917000,11271000,4445.59,49735405842
1580860800,2/5/2020,BTCKRW,10645000,11109000,10602000,11050000,4377.08,47524116348
1580774400,2/4/2020,BTCKRW,10765000,10799000,10501000,10645000,3667.72,39094027305
1580688000,2/3/2020,BTCKRW,10765000,10980000,10735000,10765000,3064.53,33209801543
1580601600,2/2/2020,BTCKRW,10817000,10875000,10671000,10765000,2494.25,26932109020
1580515200,2/1/2020,BTCKRW,10781000,10899000,10777000,10817000,1952.08,21159678373
1580428800,1/31/2020,BTCKRW,10776000,10840000,10646000,10781000,3243.08,34821489884
1580342400,1/30/2020,BTCKRW,10675000,10862000,10531000,10776000,4716.52,50311026005
1580256000,1/29/2020,BTCKRW,10562000,10773000,10500000,10675000,4682.95,49734943102
1580169600,1/28/2020,BTCKRW,10131000,10582000,10130000,10562000,5197.4,53719338923
1580083200,1/27/2020,BTCKRW,9966000,10263000,9937000,10131000,3788.34,38152152424
1579996800,1/26/2020,BTCKRW,9735000,9988000,9711000,9966000,1701.25,16771044966
1579910400,1/25/2020,BTCKRW,9809000,9810000,9667000,9735000,970.89,9435619894
1579824000,1/24/2020,BTCKRW,9753000,9882000,9624000,9809000,2412.1,23503616756
1579737600,1/23/2020,BTCKRW,9927000,9929000,9620000,9753000,3773.32,36838227420
1579651200,1/22/2020,BTCKRW,9965000,10085000,9846000,9927000,2543.48,25315745294
1579564800,1/21/2020,BTCKRW,9842000,10012000,9786000,9965000,3347.98,33110176712
1579478400,1/20/2020,BTCKRW,9905000,9953000,9771000,9842000,3102.88,30655002925
1579392000,1/19/2020,BTCKRW,10092000,10471000,9747000,9905000,6009.86,60515793457
1579305600,1/18/2020,BTCKRW,9993000,10158000,9937000,10092000,3319.21,33364516872
1579219200,1/17/2020,BTCKRW,9787000,10216000,9727000,9993000,6191.63,61996822268
1579132800,1/16/2020,BTCKRW,9729000,9840000,9560000,9787000,3855.81,37467127301
1579046400,1/15/2020,BTCKRW,9705000,9915000,9520000,9729000,6896.24,67051680794
1578960000,1/14/2020,BTCKRW,9170000,9801000,9170000,9705000,9581.39,91277512259
1578873600,1/13/2020,BTCKRW,9218000,9230000,9100000,9170000,2320.81,21269861586
1578787200,1/12/2020,BTCKRW,9062000,9252000,9020000,9218000,2054.47,18822759395
1578700800,1/11/2020,BTCKRW,9228000,9341000,9034000,9062000,3700.12,33950540841
1578614400,1/10/2020,BTCKRW,8946000,9274000,8750000,9228000,6351.66,57188600795
1578528000,1/9/2020,BTCKRW,9095000,9128000,8886000,8946000,4352.99,39162831868
1578441600,1/8/2020,BTCKRW,9391000,9743000,9013000,9095000,10054.64,95084433009
1578355200,1/7/2020,BTCKRW,8856000,9436000,8855000,9391000,7365.17,66919995329
1578268800,1/6/2020,BTCKRW,8460000,8886000,8455000,8856000,4563.93,39618315207
1578182400,1/5/2020,BTCKRW,8479000,8633000,8430000,8460000,2873.47,24590996020
1578096000,1/4/2020,BTCKRW,8457000,8510000,8388000,8479000,1542.52,13037381526
1578009600,1/3/2020,BTCKRW,8046000,8524000,7904000,8475000,5204.1,43220583457
1577923200,1/2/2020,BTCKRW,8305000,8308000,8033000,8046000,1792.1,14664550117
1577836800,1/1/2020,BTCKRW,8309000,8362000,8289000,8305000,972.27,8098031696
1577750400,12/31/2019,BTCKRW,8341000,8447000,8253000,8309000,1573.59,13108113465
1577664000,12/30/2019,BTCKRW,8489000,8498000,8330000,8341000,1842.59,15520848667
1577577600,12/29/2019,BTCKRW,8425000,8634000,8396000,8489000,2299.96,19554729133
1577491200,12/28/2019,BTCKRW,8393000,8483000,8384000,8425000,1714.02,14463634330
1577404800,12/27/2019,BTCKRW,8367000,8420000,8200000,8393000,2215.1,18464138962
1577318400,12/26/2019,BTCKRW,8376000,8597000,8316000,8367000,2500.65,21016192875
1577232000,12/25/2019,BTCKRW,8452000,8469000,8313000,8376000,1773.66,14886993780
1577145600,12/24/2019,BTCKRW,8520000,8629000,8357000,8452000,2996.69,25474513304
1577059200,12/23/2019,BTCKRW,8684000,8899000,8457000,8520000,4878.35,42471650117
1576972800,12/22/2019,BTCKRW,8300000,8689000,8281000,8684000,2227.79,18874540597
1576886400,12/21/2019,BTCKRW,8337000,8340000,8259000,8300000,1046.1,8681403896
1576800000,12/20/2019,BTCKRW,8320000,8397000,8249000,8337000,1978.07,16445987470
1576713600,12/19/2019,BTCKRW,8472000,8589000,8217000,8320000,3733.67,31160232350
1576627200,12/18/2019,BTCKRW,7744000,8650000,7550000,8472000,9909.94,78293865708
1576540800,12/17/2019,BTCKRW,8053000,8096000,7700000,7744000,9585.34,76237543279
1576454400,12/16/2019,BTCKRW,8324000,8337000,8010000,8053000,7577.29,62289307589
1576368000,12/15/2019,BTCKRW,8272000,8424000,8202000,8324000,20404.32,1.69174E+11
1576281600,12/14/2019,BTCKRW,8494000,8523000,8201000,8272000,10827.94,91287917113
1576195200,12/13/2019,BTCKRW,8434000,8575000,8423000,8494000,19713.53,1.67146E+11
1576108800,12/12/2019,BTCKRW,8485000,8565000,8371000,8434000,10638.56,89910422006
